A1
[[408, 5.0, 72554], [10, 12720, 1/2, 54.80328649891053], 1331.651351]
[[172, 5.0, 63707], [9, 85024, 1/1, 20.584775142169995], 85.588872]
[[202, 5.0, 96498], [14, 74541, 1/2, 37.41261132417347], 443.211447]
[[172, 5.0, 63707], [10, 85024, 1/1, 24.17397081901395], 103.571466]
[[332, 5.0, 25876], [16, 53502, 1/2, 48.43571135292461], 1868.736437]
[[172, 5.0, 63707], [11, 85024, 1/1, 25.111435890028012], 138.012219]
[[223, 5.0, 17242], [1, 62599, 1/1, 3.1399861441423713], 12.609774]
[[223, 5.0, 17242], [2, 62599, 1/1, 7.379458825106042], 23.939806]
[[202, 5.0, 96498], [15, 74541, 1/2, 41.43257187771802], 478.358093]
[[223, 5.0, 17242], [3, 62599, 1/1, 9.000828463262682], 35.063675]
[[172, 5.0, 63707], [12, 85024, 1/1, 25.771514456561448], 172.634907]
[[223, 5.0, 17242], [4, 62599, 1/1, 12.702276383017125], 52.412888]
[[223, 5.0, 17242], [5, 62599, 1/1, 16.58890928469114], 68.55589]
[[172, 5.0, 63707], [13, 85024, 1/1, 26.493546624451056], 215.249459]
[[223, 5.0, 17242], [6, 62599, 1/1, 22.122678488584473], 84.150701]
[[202, 5.0, 96498], [16, 74541, 1/2, 43.944754004068685], 546.460881]
[[223, 5.0, 17242], [7, 62599, 1/1, 23.987944233895654], 96.80338]
[[172, 5.0, 63707], [14, 85024, 15/16, 30.136456811905166], 252.843877]
[[408, 5.0, 72554], [11, 12720, 1/2, 56.472277747663355], 1616.487168]
[[223, 5.0, 17242], [8, 62599, 1/1, 29.874743169863475], 125.25359]
[[172, 5.0, 63707], [15, 85024, 5/6, 33.200121157597565], 291.59331]
[[41, 5.0, 29438], [1, 6666, 1/1, 0.7689658670620526], 1.681423]
[[41, 5.0, 29438], [2, 6666, 1/1, 2.9750332872954957], 2.791587]
[[41, 5.0, 29438], [3, 6666, 1/1, 4.0955207507163305], 3.442093]
[[41, 5.0, 29438], [4, 6666, 1/1, 4.981011792913648], 5.266637]
[[172, 5.0, 63707], [16, 85024, 1/2, 36.21014016153388], 318.831128]
[[41, 5.0, 29438], [5, 6666, 1/2, 5.726168911081106], 6.81333]
[[223, 5.0, 17242], [9, 62599, 6/7, 34.58324850498177], 163.205145]
[[41, 5.0, 29438], [6, 6666, 1/2, 8.013449431287656], 7.520474]
[[41, 5.0, 29438], [7, 6666, 1/2, 8.721442621856351], 10.700701]
[[41, 5.0, 29438], [8, 6666, 1/2, 9.983937232625097], 11.736582]
[[41, 5.0, 29438], [9, 6666, 1/2, 12.261819450371744], 13.693978]
[[41, 5.0, 29438], [10, 6666, 1/2, 15.255263706414327], 16.32183]
[[41, 5.0, 29438], [11, 6666, 1/2, 16.23726046424079], 18.292976]
[[41, 5.0, 29438], [12, 6666, 1/2, 18.034260172219582], 20.842381]
[[41, 5.0, 29438], [13, 6666, 1/2, 19.156986286155977], 22.498371]
[[41, 5.0, 29438], [14, 6666, 1/2, 20.647695094769666], 26.015617]
[[223, 5.0, 17242], [10, 62599, 3/4, 38.973620288529006], 227.87786]
[[34, 5.0, 732], [1, 25460, 1/1, 1.6180811848456345], 1.474643]
[[41, 5.0, 29438], [15, 6666, 1/3, 22.752571312344333], 28.080007]
[[34, 5.0, 732], [2, 25460, 1/1, 2.665219502755374], 2.418695]
