[[256, 2.0, 66437], [7, 90902, 1/4, 38.3408607261095], 14.415183]
[[256, 2.0, 50434], [1, 92811, 1/1, 1.1097386393019197], 2.357094]
[[256, 2.0, 95862], [16, 10315, 1/10, 81.03070973891235], 48.744257]
[[256, 2.0, 50434], [2, 92811, 1/1, 6.425668058222707], 4.631394]
[[256, 2.0, 55794], [14, 79706, 1/10, 84.52969690401635], 31.746291]
[[256, 2.0, 66437], [8, 90902, 1/4, 45.095330075693376], 16.860845]
[[256, 2.0, 66437], [9, 90902, 1/5, 49.3455255813657], 18.760616]
[[256, 2.0, 50434], [3, 92811, 1/2, 11.083107134322429], 6.859884]
[[256, 2.0, 55794], [15, 79706, 1/12, 94.32053443614588], 34.650779]
[[256, 2.0, 66437], [10, 90902, 1/6, 53.835432001428586], 21.597901]
[[256, 2.0, 50434], [4, 92811, 1/2, 15.093490175231], 8.65103]
[[256, 2.0, 50434], [5, 92811, 1/2, 18.288704304120404], 10.420147]
[[256, 2.0, 66437], [11, 90902, 1/6, 58.34418565589987], 23.339859]
[[256, 2.0, 50434], [6, 92811, 1/2, 28.95397607819124], 12.724868]
[[256, 2.0, 66437], [12, 90902, 1/8, 65.92517229987088], 25.619314]
[[256, 2.0, 50434], [7, 92811, 2/5, 34.767267832384526], 16.107271]
[[256, 2.0, 55794], [16, 79706, 1/14, 98.91528450992435], 44.727185]
[[256, 2.0, 73524], [1, 46950, 1/1, 3.213247933783449], 2.539612]
[[256, 2.0, 73524], [2, 46950, 3/4, 10.534104836729844], 4.247674]
[[256, 2.0, 50434], [8, 92811, 2/7, 45.320076531711884], 18.501747]
[[256, 2.0, 66437], [14, 90902, 1/10, 77.89982647436591], 32.161406]
[[256, 2.0, 73524], [3, 46950, 1/2, 17.211706554122305], 6.713809]
[[256, 2.0, 50434], [9, 92811, 2/9, 55.62158084853597], 21.396468]
[[256, 2.0, 66437], [13, 90902, 1/8, 68.07905457770151], 36.984449]
[[256, 2.0, 66437], [15, 90902, 1/11, 80.35732152699748], 36.980158]
[[256, 2.0, 73524], [4, 46950, 1/3, 22.051919557726375], 8.342321]
[[256, 2.0, 50434], [10, 92811, 2/9, 57.2307817871857], 23.481961]
[[256, 2.0, 73524], [5, 46950, 1/3, 23.929996842965394], 9.84649]
[[256, 2.0, 50434], [11, 92811, 2/9, 60.551707907947375], 26.260199]
[[256, 2.0, 66437], [16, 90902, 1/11, 82.67568116688518], 42.29928]
[[256, 2.0, 73524], [6, 46950, 1/4, 28.601677622872348], 11.929021]
[[256, 2.0, 50434], [12, 92811, 2/9, 67.97474039906797], 30.372529]
[[256, 2.0, 73524], [7, 46950, 1/5, 37.627570365149495], 13.793591]
[[256, 2.0, 73524], [8, 46950, 1/5, 43.398996234933946], 15.544258]
[[256, 2.0, 42929], [1, 54733, 1/2, 7.193803862627311], 2.516014]
[[256, 2.0, 50434], [13, 92811, 2/11, 72.05583630519783], 33.241302]
[[256, 2.0, 42929], [2, 54733, 1/2, 10.103562537633222], 4.892646]
[[256, 2.0, 73524], [9, 46950, 1/5, 44.18290114185006], 18.691705]
[[256, 2.0, 42929], [3, 54733, 1/2, 21.002362233250825], 6.681314]
[[256, 2.0, 50434], [14, 92811, 2/13, 77.53419232465748], 36.817231]
[[256, 2.0, 73524], [10, 46950, 1/6, 54.816112476107435], 19.767909]
[[256, 2.0, 42929], [4, 54733, 1/4, 26.27016118963075], 9.313269]
[[256, 2.0, 73524], [11, 46950, 1/6, 58.78559769652362], 23.161873]
[[256, 2.0, 73524], [12, 46950, 1/6, 65.65842015709133], 24.799959]
[[256, 2.0, 42929], [5, 54733, 1/4, 30.541747269731687], 11.452709]
[[256, 2.0, 50434], [15, 92811, 2/13, 83.44998585702794], 43.358251]
[[256, 2.0, 42929], [6, 54733, 1/4, 33.36990269605602], 14.025943]
[[256, 2.0, 73524], [13, 46950, 1/7, 69.4701020680451], 27.556713]
[[256, 2.0, 42929], [7, 54733, 1/4, 39.3521372733331], 15.796709]
[[256, 2.0, 16227], [1, 87013, 1/1, 8.709662754268368], 2.430049]
[[256, 2.0, 73524], [14, 46950, 1/7, 75.26457982486254], 29.79479]
[[256, 2.0, 50434], [16, 92811, 2/15, 88.88608824386958], 50.742296]
[[256, 2.0, 16227], [2, 87013, 1/1, 14.692419317575737], 4.544076]
[[256, 2.0, 42929], [8, 54733, 1/6, 43.11893367880922], 18.678662]
[[256, 2.0, 73524], [15, 46950, 1/7, 81.84196715510059], 32.825567]
[[256, 2.0, 16227], [3, 87013, 11/12, 26.14471002025738], 6.407761]
[[256, 2.0, 42929], [9, 54733, 1/8, 52.821958326566445], 19.604126]
[[256, 2.0, 42929], [10, 54733, 1/10, 57.41286233502718], 22.09709]
[[256, 2.0, 16227], [4, 87013, 2/3, 30.944912731668897], 8.123933]
[[256, 2.0, 73524], [16, 46950, 1/7, 84.38646461391936], 39.236888]
[[256, 2.0, 16227], [5, 87013, 1/2, 37.07126207795087], 9.842014]
[[256, 2.0, 42929], [11, 54733, 1/12, 65.47099958134129], 24.584116]
[[256, 2.0, 16227], [6, 87013, 3/8, 43.886242421763896], 11.828456]
[[256, 2.0, 16227], [7, 87013, 3/8, 50.29446527485311], 13.986501]
[[256, 2.0, 87169], [1, 66912, 1/1, 6.394802663220843], 3.026069]
[[256, 2.0, 16227], [8, 87013, 3/10, 59.426122768249854], 17.071018]
[[256, 2.0, 42929], [13, 54733, 1/12, 73.90100533084461], 30.035953]
[[256, 2.0, 42929], [12, 54733, 1/12, 67.74997638971662], 35.317934]
[[256, 2.0, 16227], [9, 87013, 1/4, 67.19546128262307], 20.027269]
[[256, 2.0, 87169], [2, 66912, 1/1, 7.8823300527173], 4.724437]
[[256, 2.0, 42929], [14, 54733, 1/12, 80.26213386040293], 33.964935]
[[256, 2.0, 16227], [10, 87013, 3/14, 74.15738008340757], 21.567931]
[[256, 2.0, 87169], [3, 66912, 1/2, 16.78024410304699], 6.589049]
[[256, 2.0, 87169], [4, 66912, 1/2, 24.959740228136006], 8.596483]
[[256, 2.0, 16227], [11, 87013, 3/14, 75.91091712219075], 24.85627]
[[256, 2.0, 42929], [15, 54733, 1/12, 85.02247899680113], 40.394095]
[[256, 2.0, 87169], [5, 66912, 1/2, 30.47957489800652], 11.124614]
[[256, 2.0, 16227], [12, 87013, 3/14, 84.00162364369092], 26.909301]
[[256, 2.0, 87169], [6, 66912, 1/2, 34.02028817858402], 12.89721]
[[256, 2.0, 87169], [7, 66912, 1/2, 39.2987348973594], 15.447884]
[[256, 2.0, 16227], [13, 87013, 3/16, 85.99758154775058], 31.276831]
[[256, 2.0, 42929], [16, 54733, 1/14, 93.656027630863], 46.595003]
[[256, 2.0, 87169], [8, 66912, 7/17, 44.147835358464235], 17.651607]
[[256, 2.0, 8622], [1, 15377, 1/2, 7.109950649517682], 2.700019]
[[256, 2.0, 16227], [14, 87013, 3/16, 91.04112714639635], 33.076568]
[[256, 2.0, 87169], [9, 66912, 1/3, 52.91980749254964], 19.324217]
[[256, 2.0, 8622], [2, 15377, 1/4, 14.032815668464535], 4.398326]
[[256, 2.0, 8622], [3, 15377, 1/4, 23.56914579768854], 5.998694]
[[256, 2.0, 87169], [10, 66912, 1/3, 55.394978914439285], 22.35094]
[[256, 2.0, 8622], [4, 15377, 1/6, 27.854832490629633], 8.992534]
[[256, 2.0, 87169], [11, 66912, 1/3, 61.28714994372368], 23.284881]
[[256, 2.0, 8622], [5, 15377, 1/8, 33.942576640746964], 11.143996]
[[256, 2.0, 8622], [6, 15377, 1/10, 41.85941438677712], 13.007946]
[[256, 2.0, 16227], [15, 87013, 3/16, 97.84286663067351], 45.432005]
[[256, 2.0, 16227], [16, 87013, 3/16, 100.61243325145891], 43.252842]
[[256, 2.0, 87169], [12, 66912, 1/3, 69.1804261099208], 26.362472]
[[256, 2.0, 8622], [7, 15377, 1/10, 48.25805684556018], 14.562767]
[[256, 2.0, 97594], [1, 64785, 1/1, 3.0266000635443007], 2.962529]
[[256, 2.0, 87169], [13, 66912, 1/4, 78.84491107669848], 28.686046]
[[256, 2.0, 8622], [8, 15377, 1/10, 54.510160863316486], 17.966007]
[[256, 2.0, 97594], [2, 64785, 3/4, 11.021483361988341], 5.026533]
[[256, 2.0, 97594], [3, 64785, 3/4, 17.999108004888598], 6.908399]
[[256, 2.0, 8622], [9, 15377, 1/10, 56.18539576420893], 20.602571]
[[256, 2.0, 97594], [4, 64785, 1/2, 25.922715421348645], 9.170909]
[[256, 2.0, 8622], [10, 15377, 1/10, 57.2630685538393], 21.192119]
[[256, 2.0, 87169], [14, 66912, 3/13, 82.37317607648679], 38.321636]
[[256, 2.0, 97594], [5, 64785, 3/8, 33.57492466165096], 11.205791]
[[256, 2.0, 8622], [11, 15377, 1/10, 58.50605226303726], 23.786927]
