[[40, 1.7099759466766968, 54156], [8, 42350, 1/4, 13.580268691737977], 1.618807]
[[55, 1.7099759466766968, 56383], [15, 69247, 1/10, 33.85338362859516], 6.110511]
[[40, 1.7099759466766968, 54156], [9, 42350, 1/6, 16.270746866035367], 1.851675]
[[155, 1.7099759466766968, 67169], [15, 23989, 1/10, 58.2360454980978], 15.004376]
[[57, 1.7099759466766968, 57112], [1, 41136, 1/2, 2.0288410968400177], 0.42864]
[[40, 1.7099759466766968, 54156], [10, 42350, 1/6, 16.882265567308707], 2.019372]
[[55, 1.7099759466766968, 56383], [16, 69247, 1/10, 35.92818948511824], 6.482299]
[[40, 1.7099759466766968, 54156], [11, 42350, 1/6, 17.37638315595714], 2.277984]
[[155, 1.7099759466766968, 67169], [16, 23989, 2/21, 61.37592981082741], 15.913702]
[[40, 1.7099759466766968, 54156], [12, 42350, 1/8, 19.237294890947435], 2.523581]
[[57, 1.7099759466766968, 57112], [2, 41136, 1/2, 3.192781232610679], 0.794386]
[[40, 1.7099759466766968, 54156], [13, 42350, 1/8, 20.47254577008722], 2.773154]
[[40, 1.7099759466766968, 54156], [14, 42350, 1/10, 22.090735784122305], 2.948901]
[[57, 1.7099759466766968, 57112], [3, 41136, 1/2, 7.387106394910511], 1.045117]
[[57, 1.7099759466766968, 57112], [4, 41136, 1/4, 10.71449313932392], 1.39008]
[[40, 1.7099759466766968, 54156], [15, 42350, 1/12, 23.77347532832974], 3.333513]
[[57, 1.7099759466766968, 57112], [5, 41136, 1/4, 11.236544669514695], 1.659769]
[[40, 1.7099759466766968, 54156], [16, 42350, 1/12, 24.460207866723344], 3.590755]
[[57, 1.7099759466766968, 57112], [6, 41136, 1/4, 14.68391657249956], 1.98597]
[[57, 1.7099759466766968, 57112], [7, 41136, 1/6, 19.338887392771774], 2.35928]
[[57, 1.7099759466766968, 31247], [1, 40541, 1/1, 2.398987794736136], 0.361776]
[[57, 1.7099759466766968, 57112], [8, 41136, 1/6, 19.766549002230196], 2.635518]
[[57, 1.7099759466766968, 31247], [2, 40541, 1/2, 5.92609437200305], 0.644856]
[[57, 1.7099759466766968, 57112], [9, 41136, 1/6, 21.8077261927543], 3.032104]
[[57, 1.7099759466766968, 31247], [3, 40541, 1/2, 7.368091873177977], 0.880222]
[[57, 1.7099759466766968, 31247], [4, 40541, 1/4, 12.953086678960762], 1.048282]
[[57, 1.7099759466766968, 57112], [10, 41136, 1/6, 23.596219134113667], 3.349541]
[[57, 1.7099759466766968, 57112], [11, 41136, 1/8, 28.272758713347187], 3.571195]
[[57, 1.7099759466766968, 31247], [5, 40541, 1/4, 15.94196612141539], 1.42243]
[[57, 1.7099759466766968, 57112], [12, 41136, 1/8, 29.8914973368148], 4.06582]
[[57, 1.7099759466766968, 31247], [6, 40541, 1/6, 17.108110260232205], 1.553835]
[[57, 1.7099759466766968, 57112], [13, 41136, 1/8, 30.39248805617577], 4.434128]
[[57, 1.7099759466766968, 31247], [7, 40541, 1/8, 19.422757406459503], 1.817383]
[[57, 1.7099759466766968, 57112], [14, 41136, 1/10, 34.09157380725515], 4.691349]
[[57, 1.7099759466766968, 31247], [8, 40541, 1/10, 21.300068712316804], 2.232843]
[[57, 1.7099759466766968, 57112], [15, 41136, 1/10, 34.199576880141166], 5.054706]
[[57, 1.7099759466766968, 31247], [9, 40541, 1/12, 24.545557794510596], 2.437876]
[[57, 1.7099759466766968, 57112], [16, 41136, 1/12, 39.71679996131834], 5.411286]
[[57, 1.7099759466766968, 31247], [10, 40541, 1/12, 28.38453224250516], 2.673818]
[[105, 1.7099759466766968, 3556], [1, 55694, 1/2, 1.586588848939858], 0.861034]
[[57, 1.7099759466766968, 31247], [11, 40541, 1/12, 29.303159540371503], 3.017938]
[[57, 1.7099759466766968, 31247], [12, 40541, 1/14, 30.892934811018037], 3.253241]
[[105, 1.7099759466766968, 3556], [2, 55694, 1/4, 4.276123237558657], 1.523025]
[[57, 1.7099759466766968, 31247], [13, 40541, 1/14, 33.54991429255941], 3.505836]
